0.3,3
0.3,1
0.679747,0
0.679747,4
1.059494,3
1.059494,1
1.818987,2
2.198734,1
2.578481,4
2.768354,2
2.958228,1
3.148101,0
3.337975,1
3.337975,3
3.717722,0
3.717722,4
4.097468,3
4.097468,1
4.477215,2
4.856962,1
4.856962,4
5.046835,0
5.046835,3
5.236709,1
5.236709,3
5.616456,1
5.616456,3
5.806329,0
5.996203,1
6.186076,2
6.375949,3
6.755696,1
7.135443,2
7.51519,1
7.894937,1
7.894937,3
8.274684,2
8.274684,0
8.464557,1
8.464557,3
9.413924,1
9.793671,3
10.173418,2
10.553165,3
10.932911,3
10.932911,1
11.312658,4
11.312658,2
11.502532,1
11.502532,3
12.451899,0
12.451899,2
12.831646,1
12.831646,2
13.211392,4
13.211392,2
13.591139,3
13.591139,2
13.970886,0
13.970886,3
14.160759,1
14.160759,3
14.350633,2
14.350633,4
14.540506,4
14.540506,1
15.489873,4
15.679747,3
15.86962,2
16.059494,1
16.249367,2
16.439241,1
16.629114,0
16.818987,1
16.818987,3
17.198734,1
17.198734,3
17.578481,0
17.578481,4
17.768354,4
17.768354,0
